no	synset_id	name	description	synonyms	synonyms_extra
165	n07737745	peanut	pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms	nut	
166	n07767847	pear	sweet juicy gritty-textured fruit available in many varieties		
167	n03906997	pen	a writing implement with a point from which ink flows	writing pen, ball point pen	
168	n03908204	pencil	a thin cylindrical pointed writing implement; a rod of marking substance encased in wood		
169	n02055803	penguin	short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers	pelican	
170	n07720442	pepper	sweet and hot varieties of fruits of plants of the genus Capsicum	green pepper, artichoke, bell pepper	
171	n03452741	piano	a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs	grand piano	
172	n02395406	pig	domestic swine	hog, rhinoceros, bull	
173	n07753275	pineapple	large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated		
174	n03945167	pipe	a tube with a small bowl at one end; used for smoking tobacco	pipe (tobacco)	
175	n03950228	pitcher	an open vessel with a handle and a spout for pouring	jug, water pitcher	
176	n03966976	pliers	a gripping hand tool with two hinged arms and (usually) serrated jaws	wrench	
177	n03968293	plug	an electrical device with two or three pins that is inserted in a socket to make an electrical connection	electric plug	
178	n02774152	pocketbook	a container used for carrying money and small personal items or accessories (especially by women)	handbag, purse, bag, shoulder bag	
179	n03990474	pot	metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid	pan, saucepan	
180	n07710616	potato	an edible tuber native to South America; a staple food of Ireland	peanut, acorn	
181	n07735510	pumpkin	usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn		
182	n02324045	rabbit	any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food		bunny, hare
183	n02508021	raccoon	an omnivorous nocturnal mammal native to North America and Central America	fox, badger	
184	n04064401	record player	machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically	phonograph, turntable, stereo, phono	
185	n04070727	refrigerator	white goods in which food can be stored at low temperatures	ice box, refrigidaire	fridge
186	n02391994	rhinoceros	massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout	rhino, hippopotamus	
187	n04092609	ring	jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger	pearl ring	
188	n04099969	rocking chair	a chair mounted on rockers	chair, rocker	
189	n04102618	roller skate	a shoe with pairs of rollers fixed to the sole	skate	
190	n04103206	rolling pin	utensil consisting of a cylinder (usually of wood) with a handle at each end; used to roll out dough	roller, dough roller	
191	n01792158	rooster	adult male chicken	chicken, hen, turkey, cock	
192	n04118776	ruler	measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths	12-inch ruler	
193	n04128499	sailboat	a small sailing vessel; usually with a single mast	boat	
194	n04131690	salt shaker	a shaker with a perforated top for sprinkling salt	salt or pepper shaker, shaker, salt container, pepper shaker	
195	n07695965	sandwich	two (or more) slices of bread with a filling between them		
196	n04140064	saw	hand tool having a toothed blade for cutting	hand saw	
197	n04148054	scissors	an edge tool having two crossed pivoting blades	sewing scissors	
